Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests,Strong Computing Fields,Weak Computing Fields,Degree Program
22903548,Joan,,Kiggundu,Female,2003-08-12,Uganda,Uganda,+256 7120 387 30,joan.kiggundu229@gmail.com,728 Avenue Central Busitema,Busitema,Busia,24181,Uganda Christian University,3.13,2.29,69,55,6,"DATA201, AI501, PSY101, EE301, ECON101, DS401",15,"Cybersecurity, Docker","Critical Thinking, Time Management, Leadership, Problem-solving, Teamwork, Communication","Machine Learning, None, Artificial Intelligence, NLP","Software Engineer, Data Scientist, AI Researcher, ML Engineer","Reading, Gaming",Kinesthetic,One-on-one,Afternoon,"Machine Learning, Computer Vision, AI, Data Science","Programming, Software Engineering, Machine Learning, Networking",Mobile Development,Diploma of Business Administration (School of Business and Administration)
22109164,Ronald,Jackline,Joseph,Male,2002-11-25,Uganda,Uganda,+256 7264 636 42,ronaldjoseph52@yahoo.com,387 Plot  Ndejje,Ndejje,Luwero,35097,Uganda Christian University,2.86,,37,0,4,"EE301, ECON101, CS101, PSY101",20,"Git, SQL, Pandas, C++","Problem-solving, Critical Thinking, Time Management, Leadership, Communication","Artificial Intelligence, Data Science, Cybersecurity","Data Scientist, Software Engineer, Cybersecurity Analyst, AI Researcher",Reading,Visual,One-on-one,Afternoon,"Cybersecurity, Machine Learning, NLP, Data Science","Databases, Data Structures, Software Engineering","DevOps, Linear Algebra",Diploma of Business Administration (School of Business and Administration)
22650135,Moses,Annet,Kato,Male,2000-03-08,Uganda,Uganda,+256 7132 458 48,moses.kato564@gmail.com,983 Plot Upper Nkozi,Nkozi,Mpigi,71519,Uganda Christian University,3.42,2.87,58,16,3,"ECON101, MATH101, CS201",13,"Deep Learning, C++, Cybersecurity, Pandas, TensorFlow, SQL, Java","Critical Thinking, Leadership, Problem-solving, Time Management, Teamwork, Communication","Computer Vision, Artificial Intelligence, NLP","Software Engineer, AI Researcher, Data Scientist, ML Engineer",Music,Reading/Writing,Alone,Evening,"AI, Data Science, Machine Learning, NLP, Cybersecurity","Networking, Databases, Programming",Mobile Development,Diploma of Business Administration (School of Business and Administration)
22664236,Godfrey,Rose,Mugisha,Male,2003-04-24,Uganda,Uganda,+256 7502 362 15,godfrey.mugisha502@outlook.com,419 Road Upper Lira,Lira,Lira,93770,Uganda Christian University,3.27,,99,55,5,"PSY101, MATH101, ECON101, CS101, EE301",17,"Python, Deep Learning, C++, TensorFlow","Problem-solving, Teamwork, Time Management, Critical Thinking, Leadership, Communication","None, Cybersecurity","AI Researcher, ML Engineer, Software Engineer, Data Scientist","Photography, Watching films, Reading, Farming",Reading/Writing,Small group,Evening,,"Algorithms, Software Engineering, Machine Learning",Linear Algebra,Diploma of Business Administration (School of Business and Administration)
22908214,Charles,Doreen,Kasozi,Male,2006-10-16,Uganda,Uganda,+256 7228 131 31,charleskasozi458@outlook.com,590 Avenue Central Fort Portal,Fort Portal,Kabarole,12800,Uganda Christian University,3.53,2.01,124,46,6,"DATA201, ML502, AI501, CYBER301, CS201, EE301",9,"Docker, Cybersecurity, Pandas, SQL, AWS, Java, R, Python","Communication, Problem-solving, Leadership, Teamwork, Time Management, Critical Thinking","NLP, Machine Learning, Computer Vision, Artificial Intelligence","ML Engineer, Data Scientist","Farming, Dancing, Cooking, Music, Football",Kinesthetic,One-on-one,Afternoon,"Machine Learning, None, NLP","Software Engineering, Algorithms, Machine Learning, Programming",Research Methods,Diploma of Business Administration (School of Business and Administration)
22229787,David,,Lakot,Male,2005-04-02,Uganda,Uganda,+256 7483 192 14,davidlakot286@mail.com,67 Street  Kasese,Kasese,Kasese,15718,Uganda Christian University,3.3,3.69,53,69,4,"CYBER301, BIO202, DATA201, PSY101",14,"Pandas, R","Teamwork, Leadership, Problem-solving, Time Management, Communication",Artificial Intelligence,"ML Engineer, Data Scientist, Cybersecurity Analyst","Photography, Football",Reading/Writing,Alone,Afternoon,"None, Machine Learning, Computer Vision","Software Engineering, Data Structures, Machine Learning",Statistics,Diploma of Business Administration (School of Business and Administration)
22887346,Florence,,Mugisha,Female,2001-08-16,Uganda,Uganda,+256 7299 472 09,florence.mugisha210@yahoo.com,705 Plot Central Jinja,Jinja,Jinja,60544,Uganda Christian University,3.99,2.53,39,63,3,"ECON101, CYBER301, AI501",18,"Python, Git, Deep Learning, PyTorch, Docker, AWS, TensorFlow","Time Management, Leadership, Critical Thinking, Teamwork, Problem-solving","Machine Learning, NLP",ML Engineer,"Farming, Music, Watching films, Gaming",Kinesthetic,Alone,Afternoon,"NLP, Computer Vision, AI","Programming, Web Development, Databases","Statistics, Research Methods, Cloud Computing",Diploma of Business Administration (School of Business and Administration)
22243166,Solomon,Florence,Bae,Male,2006-12-11,Uganda,Uganda,+256 7756 042 45,solomon.bae179@yahoo.com,786 Plot Upper Nkozi,Nkozi,Mpigi,91858,Uganda Christian University,3.56,3.98,54,62,4,"PHYS101, ECON101, AI501, CYBER301",21,"Git, SQL, TensorFlow, Java, JavaScript","Problem-solving, Teamwork, Critical Thinking","Cybersecurity, Machine Learning","ML Engineer, Cybersecurity Analyst, Software Engineer, Data Scientist",Reading,Auditory,Online,Late night,"Data Science, Computer Vision, NLP, None, Cybersecurity","Programming, Networking","Mobile Development, Cloud Computing",Diploma of Business Administration (School of Business and Administration)
22250959,Joyce,Brian,Official,Female,2005-03-08,Uganda,Uganda,+256 7722 457 70,joyce.official865@gmail.com,950 Avenue Lower Mukono,Mukono,Mukono,25916,Uganda Christian University,3.96,2.4,17,65,5,"BIO202, PHYS101, DATA201, CS201, AI501",17,"Pandas, Java, TensorFlow, PyTorch, JavaScript, C++, Docker","Time Management, Critical Thinking, Leadership, Problem-solving, Communication, Teamwork",Computer Vision,"Software Engineer, Data Scientist, Cybersecurity Analyst, ML Engineer","Photography, Cooking, Sports",Auditory,Alone,Late night,"None, Machine Learning, Data Science, Cybersecurity","Algorithms, Software Engineering",Statistics,Diploma of Business Administration (School of Business and Administration)
22463540,Peace,,Ssentongo,Female,2001-02-12,Uganda,Uganda,+256 7521 106 67,peace_ssentongo66@mail.com,774 Plot Upper Fort Portal,Fort Portal,Kabarole,50895,Uganda Christian University,3.99,,122,77,5,"DATA201, BIO202, EE301, PHYS101, PSY101",18,"Python, PyTorch","Critical Thinking, Time Management","Data Science, None","AI Researcher, Software Engineer, Data Scientist",Cooking,Reading/Writing,Small group,Morning,"AI, None",Programming,"DevOps, Security, Statistics",Diploma of Business Administration (School of Business and Administration)
