Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests,Strong Computing Fields,Weak Computing Fields,Degree Program
22740550,Godfrey,Lydia,Acan,Male,2003-05-17,Uganda,Uganda,+256 7411 557 17,godfrey_acan1@mail.com,168 Street Upper Kisoro,Kisoro,Kisoro,34529,Gulu University,3.23,2.15,66,1,6,"ECON101, EE301, CS201, BIO202, CYBER301, MATH101",11,"R, Machine Learning, Java","Communication, Teamwork, Leadership, Time Management","Computer Vision, Cybersecurity, Data Science","ML Engineer, Data Scientist, Software Engineer, Cybersecurity Analyst","Sports, Music",Auditory,Alone,Evening,"Machine Learning, AI, Cybersecurity","Software Engineering, Data Structures",DevOps,
22765547,Frank,,Ojok,Male,2000-12-03,Uganda,Uganda,+256 7515 390 50,frank.ojok2@co.ug,563 Road Lower Mbarara,Mbarara,Mbarara,57310,Clarke International University,3.05,2.02,117,2,3,"CS201, PSY101, MATH101",9,"Docker, Machine Learning, Python, TensorFlow, Git, Deep Learning","Problem-solving, Teamwork","None, Cybersecurity","AI Researcher, ML Engineer, Cybersecurity Analyst, Software Engineer",Reading,Auditory,Online,Late night,"None, NLP, AI, Machine Learning, Computer Vision","Machine Learning, Programming, Web Development, Software Engineering",Linear Algebra,
22732963,Joan,,Bae,Female,2006-04-10,Uganda,Uganda,+256 7799 006 92,joanbae3@gmail.com,919 Avenue Upper Kampala,Kampala,Wakiso,54252,Kampala International University,3.29,3.09,53,70,3,"ECON101, AI501, MATH101",12,"C++, TensorFlow, JavaScript, Cybersecurity, SQL","Critical Thinking, Communication","Machine Learning, Cybersecurity","AI Researcher, Cybersecurity Analyst","Gaming, Dancing, Watching films, Photography, Hiking",Auditory,Small group,Late night,"Cybersecurity, Data Science, AI, None, Machine Learning","Algorithms, Web Development","DevOps, Statistics, Linear Algebra",
22642033,Ruth,Paul,Opolot,Female,2003-01-22,Uganda,Uganda,+256 7800 308 01,ruth_opolot4@co.ug,611 Road Lower Nkozi,Nkozi,Mpigi,48925,Great Lakes Regional University,3.52,2.62,64,90,6,"PSY101, PHYS101, CYBER301, DATA201, ECON101, MATH101",9,"JavaScript, Pandas, Python, Git","Communication, Time Management, Problem-solving, Teamwork, Leadership, Critical Thinking","Cybersecurity, NLP, None, Artificial Intelligence","Data Scientist, Software Engineer","Photography, Dancing, Music, Reading, Farming, Sports",Reading/Writing,Small group,Morning,"NLP, Data Science, Cybersecurity",Web Development,"Research Methods, Mobile Development, Cloud Computing",
22182086,Nakato,Francis,Komakech,Female,2002-09-04,Uganda,Uganda,+256 7900 699 50,nakato.komakech5@co.ug,245 Street Lower Lira,Lira,Lira,17034,Great Lakes Regional University,2.48,None,39,32,3,"ML502, DATA201, AI501",9,"Docker, Pandas, JavaScript","Time Management, Critical Thinking, Teamwork, Leadership, Problem-solving",Machine Learning,"Cybersecurity Analyst, Data Scientist","Farming, Sports, Football, Gaming",Visual,Alone,Evening,"Data Science, None, Cybersecurity, Machine Learning","Networking, Machine Learning, Web Development, Software Engineering","Security, Cloud Computing, Research Methods",
22842263,Nakato,Faith,Owino,Female,2004-11-03,Uganda,Uganda,+256 7659 302 14,nakato_owino6@yahoo.com,545 Avenue Central Lira,Lira,Lira,53093,King Ceasor University,3.34,3.61,113,79,3,"MATH101, ML502, CS201",17,"Pandas, Git, Java, TensorFlow","Communication, Time Management, Leadership, Problem-solving, Teamwork, Critical Thinking","Data Science, NLP, Computer Vision, None","AI Researcher, ML Engineer, Cybersecurity Analyst, Software Engineer","Farming, Dancing, Watching films, Music",Reading/Writing,One-on-one,Morning,"Cybersecurity, Machine Learning, NLP, AI, Data Science",Databases,Security,
22673188,Pamela,Justine,Namyalo,Female,2005-12-02,Uganda,Uganda,+256 7629 087 36,pamelanamyalo7@outlook.com,137 Avenue Central Nkumba,Nkumba,Wakiso,72486,Islamic University in Uganda,3.91,3.74,19,49,4,"ECON101, EE301, PHYS101, AI501",17,"Machine Learning, Deep Learning, AWS, JavaScript, TensorFlow, Pandas, C++, Java","Problem-solving, Teamwork, Communication, Leadership, Time Management, Critical Thinking","Machine Learning, Cybersecurity",ML Engineer,"Football, Music, Dancing, Reading, Sports",Visual,Small group,Morning,AI,"Networking, Data Structures, Machine Learning","Cloud Computing, Security, Mobile Development",
22526207,Janet,Eric,Odongo,Female,2004-05-04,Uganda,Uganda,+256 7994 068 26,janetodongo8@mail.com,782 Avenue Lower Entebbe,Entebbe,Wakiso,35395,Makerere University,3.13,3.96,17,106,4,"CYBER301, DS401, ML502, MATH101",20,"Deep Learning, JavaScript, SQL","Time Management, Leadership",NLP,"Cybersecurity Analyst, AI Researcher, Software Engineer, ML Engineer","Reading, Farming, Gaming, Dancing, Hiking, Cooking",Reading/Writing,Online,Afternoon,"AI, Cybersecurity, Data Science, NLP",Algorithms,"DevOps, Linear Algebra",
22804113,Joyce,,Obita,Female,2004-06-20,Uganda,Uganda,+256 7559 328 65,joyceobita9@mail.com,432 Avenue Upper Gulu,Gulu,Gulu,89013,Bishop Stuart University,3.46,2.43,57,79,3,"PHYS101, CS201, AI501",17,"Deep Learning, C++, R","Critical Thinking, Problem-solving, Time Management","Artificial Intelligence, Data Science, None","Software Engineer, Cybersecurity Analyst, ML Engineer","Watching films, Football",Kinesthetic,One-on-one,Afternoon,"Cybersecurity, Computer Vision","Software Engineering, Networking, Algorithms",DevOps,
22698188,Brian,,Otieno,Male,2003-12-11,Uganda,Uganda,+256 7877 480 46,brianotieno10@outlook.com,182 Plot Upper Gulu,Gulu,Gulu,25817,Mountains of the Moon University,2.47,None,89,91,4,"CYBER301, ECON101, EE301, PSY101",16,"Java, Machine Learning, Deep Learning, Docker, AWS, R","Leadership, Teamwork, Communication, Time Management, Problem-solving",Computer Vision,"AI Researcher, Software Engineer, ML Engineer","Reading, Photography, Cooking, Football, Hiking",Reading/Writing,Alone,Afternoon,"AI, Data Science, Computer Vision","Web Development, Databases",Linear Algebra,
22177805,Anna,Martha,Nabukenya,Female,2005-10-11,Uganda,Uganda,+256 7544 786 64,anna.nabukenya11@co.ug,140 Street Central Entebbe,Entebbe,Wakiso,78550,Kampala University,3.24,2.7,43,83,3,"PSY101, CS101, ML502",21,"TensorFlow, Java","Teamwork, Communication, Critical Thinking, Time Management",None,"Data Scientist, ML Engineer, Cybersecurity Analyst","Music, Watching films, Gaming, Sports",Visual,Small group,Morning,"AI, NLP, Data Science, Cybersecurity","Software Engineering, Databases, Data Structures, Algorithms",Cloud Computing,
22853951,Agnes,,Ssali,Female,2001-11-01,Uganda,Uganda,+256 7964 706 49,agnes_ssali12@mail.com,635 Avenue Central Busitema,Busitema,Busia,24409,African Rural University,3.3,None,22,68,5,"BIO202, ECON101, ML502, EE301, DS401",13,"R, Docker, Pandas","Teamwork, Leadership, Problem-solving, Communication, Time Management","None, Cybersecurity, Artificial Intelligence, NLP","ML Engineer, Cybersecurity Analyst, Software Engineer, AI Researcher","Cooking, Hiking, Sports",Visual,Online,Morning,"Machine Learning, AI","Data Structures, Web Development, Software Engineering, Algorithms","Cloud Computing, Mobile Development, Research Methods",
22422830,Faith,Samuel,Odongo,Female,2004-01-01,Uganda,Uganda,+256 7637 709 65,faithodongo13@co.ug,844 Avenue Upper Ndejje,Ndejje,Luwero,41246,International University of East Africa,2.89,3.26,51,109,5,"DATA201, CS101, MATH101, EE301, CS201",14,"Git, C++, Cybersecurity, AWS","Time Management, Teamwork, Leadership, Communication, Problem-solving","Data Science, Machine Learning, NLP",Software Engineer,"Reading, Gaming, Photography, Farming",Auditory,Online,Morning,"Computer Vision, Data Science, Cybersecurity, None, Machine Learning",Algorithms,Statistics,
22838798,James,,Ojul,Male,2000-07-23,Uganda,Uganda,+256 7658 882 41,jamesojul14@outlook.com,28 Plot Lower Ndejje,Ndejje,Luwero,58520,Makerere University,2.48,None,86,77,6,"AI501, ML502, PSY101, DS401, BIO202, DATA201",16,"R, AWS, Machine Learning, C++","Problem-solving, Time Management",Machine Learning,"Cybersecurity Analyst, ML Engineer","Hiking, Photography, Sports",Kinesthetic,Alone,Morning,"None, Computer Vision, Data Science",Web Development,"Security, Statistics",
22753855,Michael,Richard,Amony,Male,1998-06-25,Uganda,Uganda,+256 7135 058 96,michael_amony15@mail.com,736 Avenue  Gulu,Gulu,Gulu,29113,Muni University,3.39,3.97,59,80,5,"DS401, DATA201, AI501, ML502, PHYS101",20,"Docker, Git, Python","Time Management, Problem-solving, Communication, Critical Thinking","None, NLP, Cybersecurity","Data Scientist, AI Researcher","Football, Photography, Watching films, Sports",Kinesthetic,Small group,Morning,Machine Learning,"Programming, Web Development, Machine Learning, Software Engineering","Research Methods, Security, DevOps",
22267518,Joyce,Thomas,Ojara,Female,1999-10-20,Uganda,Uganda,+256 7008 073 95,joyce.ojara16@gmail.com,747 Avenue  Njeru,Njeru,Buikwe,99945,Bishop Stuart University,2.28,2.63,103,89,4,"EE301, PHYS101, DS401, BIO202",9,"Pandas, PyTorch","Teamwork, Problem-solving, Leadership, Time Management, Critical Thinking","None, NLP, Computer Vision","AI Researcher, ML Engineer","Photography, Watching films",Auditory,Small group,Morning,Cybersecurity,"Web Development, Data Structures, Networking","Mobile Development, Research Methods, Statistics",
22305242,Catherine,Denis,Nabukenya,Female,2002-05-22,Uganda,Uganda,+256 7244 457 13,catherine_nabukenya17@yahoo.com,207 Plot  Nkozi,Nkozi,Mpigi,94305,Gulu University,2.33,3.3,58,18,4,"AI501, DATA201, ECON101, CS201",20,"Machine Learning, Java, C++, Python, Cybersecurity, SQL, PyTorch","Teamwork, Critical Thinking","None, NLP, Computer Vision",Cybersecurity Analyst,"Farming, Hiking, Music, Football, Sports",Visual,Online,Late night,NLP,Algorithms,"Cloud Computing, Mobile Development, DevOps",
22770257,Hope,,Acan,Female,1999-09-05,Uganda,Uganda,+256 7400 696 21,hope_acan18@yahoo.com,64 Road Upper Budaka,Budaka,Budaka,25104,Bugema University,3.54,None,84,56,3,"ML502, CS201, CYBER301",19,"C++, PyTorch, R, Python, Git, Cybersecurity, JavaScript","Leadership, Communication, Critical Thinking, Problem-solving, Teamwork, Time Management","NLP, Data Science",Software Engineer,"Cooking, Sports, Reading, Gaming",Kinesthetic,Alone,Afternoon,"None, Data Science, Computer Vision",Programming,"DevOps, Research Methods, Linear Algebra",
